token,full_words
a,
access,access
accesstoken,access token
accnt,account
acpt,accept
acs,access
act,account
activity,activity
actv,active
acum,
ad,
add,add
addr,address
addtnl,additional
admin,admin
adr,address
advt,
age,age
agent,agent
agmt,
all,all
als,
amt,amount
anl,annual
ansr,answer
anvrsy,anniversary
ap,
api,
aply,apply
app,app
appid,app id
appl,app
apps,app
apsvc,
apv,
apvl,
astor,
atch,attach
athr,
athrzn,authorization
atnt,
attr,
au,
auth,authentication
auto,auto
auv,
ava,
avg,average
avl,
b,
badge,badge
banner,banner
base,base
bd,
bdp,
beta,beta
bfe,
bg,
bgnd,background
bid,bid
big,big
bil,
bill,bill
binary,binary
biz,business
blfsh,
blth,blue tooth
bnk,bank
bnr,
bnry,
body,body
bounces,bounce
brch,branch
browser,browser
brth,birth
bsize,
bss,
buy,buy
bx,
by,
byr,buyer
byte,byte
bytes,byte
bz,business
cancel,cancel
capa,
carr,carrier
cate,category
category,category
categorycode,category code
categoryval,category value
cau,
caught,caught
cd,code
channel,channel
chg,change
chk,check
chld,child
chng,change
chnl,channel
chrg,charge
ci,
cl,
class,class
clienttype,client type
clm,
clng,
clnt,
cls,
clst,cluster
clt,
cltn,
cm,
cmpgn,campaign
cmpltd,
cmpltn,
cmpny,company
cmpttr,
cmsn,
cmt,
cn,
cncl,cancel
cnd,
cnpny,company
cnt,count
cntct,contact
cntrt,contract
cnty,country
cnvrn,
code,code
collection,collection
colr,color
com,
conn,connection
cont,
content,content
cookie,cookie
count,count
country,country
countrycode,country code
covr,
cpn,coupon
cprt,
crcd,
crd,card
crdt,credit
create,create
crir,
crnt,
crt,create
crtr,
csc,
csctgy,
cst,
ctf,certification
ctgy,category
ctnt,
ctntset,ctnt set
cty,
curr,currency
current,current
cust,custom
custm,custom
custom,custom
custz,
cvrg,
cvs,
cym,
cyymm,yymm
cyymmdd,yymmdd
cyymmval,yymm
cyyww,yyww
cyyyy,yyyy
d,
data,data
date,date
day,day
dc,
dd,
default,default
del,
depth,depth
desc,description
detail,detail
developer,developer
device,device
deviceid,device id
devicelogversion,device log version
devicemodel,device model
devices,device
devicetypecode,device type code
dflt,
dft,
dgt,digit
di,
dim,
dimension,dimension
dir,
disp,
distr,distribution
dl,
dlgt,
dlt,
dn,
doc,
down,down
dply,
dprt,
dpth,depth
drm,
drmt,
dt,datetime
dtl,
duid,
durations,duration
dvc,device
dvce,device
dvlpr,
dvsn,
dwnld,download
easy,easy
edge,edge
edit,edit
eff,
eft,
email,email
eml,email
empty,empty
end,end
ent,
entrances,entrance
entry,entry
epr,
errorcode,error code
esby,
etc,etc
etl,
etnc,
eu,eu
eur,
event,event
events,event
evlt,
evnt,event
evt,event
except,except
exception,exception
exceptions,exception
exch,exchange
exec,
exit,exit
exits,exit
exp,
expd,
exptn,
ext,external
extra,extra
facebook,facebook
fail,fail
fam,
feature,feature
fee,fee
feed,feed
fg,flag
file,file
final,final
firmware,firmware
first,first
fist,fist
fld,field
flow,flow
flr,
flw,
flxbl,
fnum,
font,font
for,for
free,free
frgnr,
frmwr,firmware
frst,first
ftr,
fwre,firmware
g,
galaxy,galaxy
game,game
gear,gear
generation,generation
gerp,
get,get
gift,gift
gifts,gift
glb,global
gndr,
gp,group
grd,
grn,
grp,group
grsp,
guid,guid
gvn,
h,
hb,
hdr,holder
height,height
hhval,
hid,
hist,
hit,hit
hlp,help
hlth,health
hmpg,homepage
hmtwn,hometown
host,host
hostname,hostname
hour,hour
i,
iap,
ichg,
ici,
icld,
icon,icon
id,id
idntn,
idx,
imei,imei
img,image
imie,
in,in
indst,
info,information
infor,information
instl,installation
instor,
int,internal
interest,interest
ip,ip
iplc,
is,is
isu,
isur,issue
item,item
itm,item
itnl,
itntnl,
itrm,
itv,
ivt,
java,java
jb,
jn,
job,job
key,key
kids,kid
kies,
kn,
knox,
ko,
kor,
krw,
kwd,
landing,landing
lang,language
language,language
last,last
latd,
layout,layout
lbl,label
lbs,
lcal,local
lckr,
lckscrn,lockscreen
lcl,local
lclt,
lcs,
ld,
lds,
length,length
lev,
level,level
lf,
lgi,
lgn,
lgo,
lgth,length
lk,
lmt,
loc,location
log,log
login,login
logo,logo
logtype,log type
long,long
lotd,
lrg,
lst,last
lt,
lv,level
lvl,level
mac,mac
main,main
manage,manage
map,map
mark,mark
mask,mask
max,max
mb,
mbl,mobile
mcc,
mcht,merchant
md,
mdal,
mdfid,modified
mdfr,modifier
mdfy,modify
mdy,
mem,memory
memory,memory
message,message
method,method
metrics,metric
mgr,
mgt,
mid,middle
min,min
mkt,market
mky,
mlt,
mnc,
mnl,
model,model
modelid,model id
modl,model
modle,model
mody,modify
msc,
msg,message
mthd,method
mult,multiple
multi,multiple
music,music
name,name
nameauth,
nblk,
net,net
new,new
next,next
nice,nice
nm,name
nmb,number
nmem,
notify,notify
nrml,normal
ntwk,network
num,number
number,number
oap,
oav,
obgtr,
object,object
ocup,occupation
odc,
odr,
ofce,office
off,off
offlne,offline
offset,offset
omgr,
on,on
open,open
opn,open
oprn,
opt,opt
opti,
ord,
order,order
ordr,order
org,organization
orgl,
orgn,
original,original
os,os
otaactive,
otapush,
overage,overage
ovrlp,overlap
owd,
ownr,owner
p,
pack,pack
pad,pad
page,page
paid,paid
pass,pass
path,path
pay,pay
pblct,
pc,
pchs,
pd,
pel,
period,period
pg,
phon,phone
phone,phone
phsl,
phto,photo
pid,
platformid,platform id
plc,
plf,
plod,
pmt,
pnl,
pnum,
policy,policy
pos,position
post,post
prc,price
prctr,
pre,
pref,
prepost,
preview,preview
prf,performance
prfx,prefix
prgs,
private,private
prm,
prmum,premium
prnr,
prnt,
proc,
prod,
protocol,protocol
prt,
prtnr,partner
prty,
prvc,
psd,
psn,
pspt,
pswd,
pt,
pth,path
pub,
published,published
puch,
push,push
pwd,password
q,
qa,
qashp,
qos,
qstn,question
qstr,
r,
range,range
rating,rating
rau,
rcau,
rcmd,
rcnt,
rcv,receive
rcvy,
rdrc,
rdwn,
real,real
rec,
rechv,
ref,
referer,referer
reg,registration
region,region
rel,
rem,
rep,
req,request
reqmsg,request message
request,request
resn,
result,result
rgb,rgb
rgn,region
rgt,
rl,
rlgn,
rltd,
rn,
rnd,
role,role
rot,
rptn,
rs,
rsln,
rspdt,
rsps,
rsvd,reserved
rt,rate
rtmt,
rtnt,
rule,rule
rvn,
s,
sal,
sale,sale
sbc,
sbcb,
sbcpt,subscription
sbjct,subject
sbsdr,
scnd,second
score,score
scp,
scrn,screen
scrty,security
sdk,
sdw,
sec,
sel,sell
self,self
selr,seller
seq,sequence
servicecode,service code
session,session
sessions,session
set,set
setl,
setting,setting
sf,
sfc,
sfx,
sgn,
shot,shot
show,show
shp,shop
shr,
shw,
sign,sign
site,site
size,size
sku,
sll,sell
slr,seller
smi,
sms,short message service
smt,
snd,send
sns,
snt,send
soc,social
source,source
sp,
spcl,
sply,supply
spnd,spend
spt,support
src,
srcg,
srch,search
srl,serial
srt,
sspnd,
st,
stack,stack
start,start
stat,status
state,state
std,standard
stduk,
stkh,stockholder
stl,
stor,store
stp,
str,
strt,
struct,struct
sts,
stt,
stub,
stud,
stup,
sub,sub
sud,
sum,sum
svc,service
svg,
svr,
sw,software
swift,swift
t,
tag,tag
taken,taken
tap,tap
tax,tax
temp,temp
term,term
termst,
test,test
tg,
tgt,target
them,them
tier,tier
time,time
timestamp,timestamp
timestamps,timestamp
title,title
tmcc,
tmp,tmp
tnb,
token,token
tol,
tot,total
touch,touch
tp,type
tphon,phone
tr,
trace,trace
tran,
trial,trial
trnst,
trs,
trsf,
ts,
tsp,datetime
tst,test
ttl,title
twitter,twitter
txt,text
typ,type
type,type
tz,timezone
uc,
ui,ui
ulvl,
unc,
uncaught,uncaught
unique,unique
unq,unique
unt,unit
unuse,unuse
up,up
updt,update
upld,upload
upt,
url,url
usage,usage
usd,usd
use,use
used,used
user,user
userid,user id
users,user
usg,usage
usr,user
utm,
val,value
value,value
vat,
vchr,voucher
vdo,video
vender,vender
ver,version
version,version
views,view
vir,
visit,visit
vld,valid
vndr,vendor
vst,visit
vstr,
wallpaper,wallpaper
walpape,wallpaper
wap,
watch,watch
wct,
wd,
web,web
webuse,web use
week,week
wegt,
weight,weight
whol,whole
width,width
wifi,wifi
wk,work
wrk,work
wtdrl,
wth,
xps,
xtnd,
ymd,yymmdd
yn,yn
youtube,youtube
yymm,yymm
yymmdd,yymmdd
yymmddcrt,yymmdd
yymmddval,yymmdd
yymmval,yymm
yymmwwval,yymmww
yyww,yyww
yyyymmdd,yyyymmdd
zico,
dir,directory
tm,time
obj,object
attr,attribute
eqp,equipment
catg,category
chkout,checkout
ctrl,control
fac,factory
prod,product
updown,up down
ref,reference
dept,department
err,error
lowererrorlimit,lower error limit
pkg,package
policyobjectname,policy object name
uppercautionlimit,upper caution limit
sitecount,site count
productspecname,product spec name
upperengrlimit,upper engr limit
complt,complete
item,name
intval,interval
lowercautionlimit,lower caution limit
lowerengrlimit,lower engr limit
uppererrorlimit,upper error limit
processoperationname,process operation name
opr,operation
oper,operation
matl,material
resrc,resource
